year,category,count
2015,Economic,165435
2015,Family (sponsored),61705
2015,Other,3075
2015,Refugee & protected,30195
2016,Economic,151185
2016,Family (sponsored),73870
2016,Other,2725
2016,Refugee & protected,56925
2017,Economic,154485
2017,Family (sponsored),78695
2017,Other,2500
2017,Refugee & protected,39645
2018,Economic,181090
2018,Family (sponsored),81280
2018,Other,2795
2018,Refugee & protected,43855
2019,Economic,190970
2019,Family (sponsored),87310
2019,Other,3520
2019,Refugee & protected,46930
2020,Economic,101975
2020,Family (sponsored),45870
2020,Other,2390
2020,Refugee & protected,24320
2021,Economic,247555
2021,Family (sponsored),77600
2021,Other,10140
2021,Refugee & protected,58860
2022,Economic,249515
2022,Family (sponsored),93350
2022,Other,9120
2022,Refugee & protected,72810
2023,Economic,265785
2023,Family (sponsored),105645
2023,Other,13380
2023,Refugee & protected,73395
2024,Economic,274600
2024,Family (sponsored),101815
2024,Other,18430
2024,Refugee & protected,75095
2025,Economic,222670
2025,Family (sponsored),91885
2025,Other,9405
2025,Refugee & protected,57575
