country_code,country_name,year,foreign_born_share
AUS,Australia,1990,23.306269
AUS,Australia,1995,23.296854
AUS,Australia,2000,22.944485
AUS,Australia,2005,24.050474
AUS,Australia,2010,26.555475
AUS,Australia,2015,28.115314
AUS,Australia,2020,29.540522
AUS,Australia,2024,30.364773
CAN,Canada,1990,15.297378
CAN,Canada,1995,16.476175
CAN,Canada,2000,17.88631
CAN,Canada,2005,18.763699
CAN,Canada,2010,20.572044
CAN,Canada,2015,22.384243
CAN,Canada,2020,21.82991
CAN,Canada,2024,22.157274
CHE,Switzerland,1990,18.654667
CHE,Switzerland,1995,19.367807
CHE,Switzerland,2000,20.66415
CHE,Switzerland,2005,23.417027
CHE,Switzerland,2010,26.246075
CHE,Switzerland,2015,28.799276
CHE,Switzerland,2020,30.208487
CHE,Switzerland,2024,31.089956
DEU,Germany,1990,8.732017
DEU,Germany,1995,11.749843
DEU,Germany,2000,12.711256
DEU,Germany,2005,13.663665
DEU,Germany,2010,14.432533
DEU,Germany,2015,15.408371
DEU,Germany,2020,17.961895
DEU,Germany,2024,19.810337
DNK,Denmark,1990,4.588929
DNK,Denmark,1995,5.6995506
DNK,Denmark,2000,6.9691353
DNK,Denmark,2005,7.8081503
DNK,Denmark,2010,9.188241
DNK,Denmark,2015,10.851046
DNK,Denmark,2020,12.327057
DNK,Denmark,2024,14.1779585
FIN,Finland,1990,1.2685059
FIN,Finland,1995,1.9524378
FIN,Finland,2000,2.631331
FIN,Finland,2005,3.6630957
FIN,Finland,2010,4.2600427
FIN,Finland,2015,5.7458444
FIN,Finland,2020,6.981539
FIN,Finland,2024,9.157978
FRA,France,1990,10.335144
FRA,France,1995,10.20124
FRA,France,2000,10.324422
FRA,France,2005,11.099186
FRA,France,2010,11.546065
FRA,France,2015,12.289782
FRA,France,2020,13.065295
FRA,France,2024,13.804598
GBR,United Kingdom,1990,6.388413
GBR,United Kingdom,1995,7.1757874
GBR,United Kingdom,2000,8.039478
GBR,United Kingdom,2005,9.88511
GBR,United Kingdom,2010,12.242079
GBR,United Kingdom,2015,13.874485
GBR,United Kingdom,2020,15.620756
GBR,United Kingdom,2024,17.133047
ISR,Israel,1990,35.69869
ISR,Israel,1995,33.26233
ISR,Israel,2000,30.078512
ISR,Israel,2005,27.957186
ISR,Israel,2010,26.622387
ISR,Israel,2015,25.082752
ISR,Israel,2020,23.508427
ISR,Israel,2024,22.2815
ITA,Italy,1990,2.6816201
ITA,Italy,1995,3.154245
ITA,Italy,2000,3.742233
ITA,Italy,2005,5.615038
ITA,Italy,2010,7.84392
ITA,Italy,2015,9.08984
ITA,Italy,2020,10.388187
ITA,Italy,2024,11.043738
JPN,Japan,1990,0.85127795
JPN,Japan,1995,1.0591755
JPN,Japan,2000,1.3003997
JPN,Japan,2005,1.5452088
JPN,Japan,2010,1.6864495
JPN,Japan,2015,2.0251184
JPN,Japan,2020,2.6040568
JPN,Japan,2024,2.7551072
KOR,South Korea,1990,0.04196552
KOR,South Korea,1995,0.11620196
KOR,South Korea,2000,0.30882257
KOR,South Korea,2005,0.48429683
KOR,South Korea,2010,1.1607664
KOR,South Korea,2015,2.573698
KOR,South Korea,2020,3.3232539
KOR,South Korea,2024,3.5026903
NLD,Netherlands,1990,7.9456835
NLD,Netherlands,1995,8.97763
NLD,Netherlands,2000,9.867748
NLD,Netherlands,2005,10.540888
NLD,Netherlands,2010,11.034661
NLD,Netherlands,2015,11.831459
NLD,Netherlands,2020,13.752667
NLD,Netherlands,2024,16.21899
NOR,Norway,1990,4.540604
NOR,Norway,1995,5.3521996
NOR,Norway,2000,6.511883
NOR,Norway,2005,7.8116875
NOR,Norway,2010,10.729876
NOR,Norway,2015,14.381656
NOR,Norway,2020,15.842993
NOR,Norway,2024,18.154308
NZL,New Zealand,1990,15.495209
NZL,New Zealand,1995,16.190575
NZL,New Zealand,2000,17.782316
NZL,New Zealand,2005,20.677523
NZL,New Zealand,2010,22.01087
NZL,New Zealand,2015,24.538229
NZL,New Zealand,2020,26.507452
NZL,New Zealand,2024,28.155058
SWE,Sweden,1990,9.163718
SWE,Sweden,1995,10.704392
SWE,Sweden,2000,11.521014
SWE,Sweden,2005,12.480616
SWE,Sweden,2010,14.630412
SWE,Sweden,2015,16.717161
SWE,Sweden,2020,19.644232
SWE,Sweden,2024,21.421309
USA,United States,1990,9.182553
USA,United States,1995,10.635759
USA,United States,2000,12.365475
USA,United States,2005,13.372878
USA,United States,2010,14.128083
USA,United States,2015,14.700733
USA,United States,2020,14.869079
USA,United States,2024,15.162426
