year,gender,age_group,uom,value
1971,Men,All ages,Persons,11026469.0
1971,Men,0 to 4 years,Persons,938835.0
1971,Men,0 years,Persons,184005.0
1971,Men,1 year,Persons,186295.0
1971,Men,2 years,Persons,183656.0
1971,Men,3 years,Persons,185523.0
1971,Men,4 years,Persons,199356.0
1971,Men,5 to 9 years,Persons,1159468.0
1971,Men,5 years,Persons,210314.0
1971,Men,6 years,Persons,230278.0
1971,Men,7 years,Persons,236028.0
1971,Men,8 years,Persons,242499.0
1971,Men,9 years,Persons,240349.0
1971,Men,10 to 14 years,Persons,1190275.0
1971,Men,10 years,Persons,242224.0
1971,Men,11 years,Persons,241271.0
1971,Men,12 years,Persons,237523.0
1971,Men,13 years,Persons,236684.0
1971,Men,14 years,Persons,232573.0
1971,Men,15 to 19 years,Persons,1100056.0
1971,Men,15 years,Persons,230502.0
1971,Men,16 years,Persons,229976.0
1971,Men,17 years,Persons,221264.0
1971,Men,18 years,Persons,213084.0
1971,Men,19 years,Persons,205230.0
1971,Men,20 to 24 years,Persons,991602.0
1971,Men,20 years,Persons,200554.0
1971,Men,21 years,Persons,196591.0
1971,Men,22 years,Persons,195606.0
1971,Men,23 years,Persons,198443.0
1971,Men,24 years,Persons,200408.0
1971,Men,25 to 29 years,Persons,838454.0
1971,Men,25 years,Persons,176630.0
1971,Men,26 years,Persons,167740.0
1971,Men,27 years,Persons,173058.0
1971,Men,28 years,Persons,162828.0
1971,Men,29 years,Persons,158198.0
1971,Men,30 to 34 years,Persons,685790.0
1971,Men,30 years,Persons,145368.0
1971,Men,31 years,Persons,141091.0
1971,Men,32 years,Persons,136197.0
1971,Men,33 years,Persons,134129.0
1971,Men,34 years,Persons,129005.0
1971,Men,35 to 39 years,Persons,661274.0
1971,Men,35 years,Persons,132010.0
1971,Men,36 years,Persons,129665.0
1971,Men,37 years,Persons,130124.0
1971,Men,38 years,Persons,134150.0
1971,Men,39 years,Persons,135325.0
1971,Men,40 to 44 years,Persons,655406.0
1971,Men,40 years,Persons,133101.0
1971,Men,41 years,Persons,133763.0
1971,Men,42 years,Persons,129925.0
1971,Men,43 years,Persons,130967.0
1971,Men,44 years,Persons,127650.0
1971,Men,45 to 49 years,Persons,623256.0
1971,Men,45 years,Persons,127398.0
1971,Men,46 years,Persons,125802.0
1971,Men,47 years,Persons,124791.0
1971,Men,48 years,Persons,121530.0
1971,Men,49 years,Persons,123735.0
1971,Men,50 to 54 years,Persons,526548.0
1971,Men,50 years,Persons,116297.0
1971,Men,51 years,Persons,112740.0
1971,Men,52 years,Persons,101595.0
1971,Men,53 years,Persons,98328.0
1971,Men,54 years,Persons,97588.0
1971,Men,55 to 59 years,Persons,478899.0
1971,Men,55 years,Persons,97366.0
1971,Men,56 years,Persons,100559.0
1971,Men,57 years,Persons,98478.0
1971,Men,58 years,Persons,93075.0
1971,Men,59 years,Persons,89421.0
1971,Men,60 to 64 years,Persons,386266.0
1971,Men,60 years,Persons,84626.0
1971,Men,61 years,Persons,80849.0
1971,Men,62 years,Persons,77039.0
1971,Men,63 years,Persons,74018.0
1971,Men,64 years,Persons,69734.0
1971,Men,65 to 69 years,Persons,299341.0
1971,Men,65 years,Persons,66207.0
1971,Men,66 years,Persons,63317.0
1971,Men,67 years,Persons,60485.0
1971,Men,68 years,Persons,56816.0
1971,Men,69 years,Persons,52516.0
1971,Men,70 to 74 years,Persons,207978.0
1971,Men,70 years,Persons,48631.0
1971,Men,71 years,Persons,45379.0
1971,Men,72 years,Persons,41243.0
1971,Men,73 years,Persons,37537.0
1971,Men,74 years,Persons,35188.0
1971,Men,75 to 79 years,Persons,141292.0
1971,Men,75 years,Persons,33180.0
1971,Men,76 years,Persons,30222.0
1971,Men,77 years,Persons,28164.0
1971,Men,78 years,Persons,26026.0
1971,Men,79 years,Persons,23700.0
1971,Men,80 to 84 years,Persons,86512.0
1971,Men,80 years,Persons,21078.0
1971,Men,81 years,Persons,19105.0
1971,Men,82 years,Persons,17667.0
1971,Men,83 years,Persons,15545.0
1971,Men,84 years,Persons,13117.0
1971,Men,85 to 89 years,Persons,41058.0
1971,Men,85 years,Persons,11614.0
1971,Men,86 years,Persons,9908.0
1971,Men,87 years,Persons,8033.0
1971,Men,88 years,Persons,6416.0
1971,Men,89 years,Persons,5087.0
1971,Men,0 to 14 years,Persons,3288578.0
1971,Men,0 to 15 years,Persons,3519080.0
1971,Men,0 to 16 years,Persons,3749056.0
1971,Men,0 to 17 years,Persons,3970320.0
1971,Men,15 to 49 years,Persons,5555838.0
1971,Men,15 to 64 years,Persons,6947551.0
1971,Men,16 to 64 years,Persons,6717049.0
1971,Men,17 to 64 years,Persons,6487073.0
1971,Men,18 years and older,Persons,7056149.0
1971,Men,18 to 64 years,Persons,6265809.0
1971,Men,18 to 24 years,Persons,1409916.0
1971,Men,25 to 44 years,Persons,2840924.0
1971,Men,45 to 64 years,Persons,2014969.0
1971,Men,65 years and older,Persons,790340.0
1971,Men,90 years and older,Persons,14159.0
1971,Men,Median age,Years,25.8
1971,Men,Average age,Years,30.1
