year,geography,net_migration
1962,Alberta,7016
1963,Alberta,4922
1964,Alberta,-2690
1965,Alberta,-4821
1966,Alberta,-9516
1967,Alberta,654
1968,Alberta,7173
1969,Alberta,7986
1970,Alberta,8428
1971,Alberta,6206
1972,Alberta,4190
1973,Alberta,5498
1974,Alberta,2911
1975,Alberta,23155
1976,Alberta,26579
1977,Alberta,34710
1978,Alberta,32543
1979,Alberta,33426
1980,Alberta,41435
1981,Alberta,44250
1982,Alberta,36562
1983,Alberta,-11650
1984,Alberta,-31986
1985,Alberta,-20771
1986,Alberta,-3831
1987,Alberta,-29998
1988,Alberta,-23223
1989,Alberta,-1528
1990,Alberta,5593
1991,Alberta,8983
1992,Alberta,2983
1993,Alberta,-1181
1994,Alberta,-1630
1995,Alberta,-556
1996,Alberta,7656
1997,Alberta,26282
1998,Alberta,43089
1999,Alberta,25191
2000,Alberta,22674
2001,Alberta,20457
2002,Alberta,26235
2003,Alberta,11903
2004,Alberta,10606
2005,Alberta,34423
2006,Alberta,45795
2007,Alberta,33809
2008,Alberta,15317
2009,Alberta,13184
2010,Alberta,-3271
2011,Alberta,8443
2012,Alberta,27652
2013,Alberta,38598
2014,Alberta,35382
2015,Alberta,21594
2016,Alberta,-15108
2017,Alberta,-15559
2018,Alberta,-3247
2019,Alberta,-2032
2020,Alberta,-2377
2021,Alberta,-9458
2022,Alberta,5646
2023,Alberta,39408
2024,Alberta,48394
2025,Alberta,28138
1962,British Columbia,2345
1963,British Columbia,8791
1964,British Columbia,15654
1965,British Columbia,20353
1966,British Columbia,34778
1967,British Columbia,28019
1968,British Columbia,17768
1969,British Columbia,20867
1970,British Columbia,29156
1971,British Columbia,18280
1972,British Columbia,28088
1973,British Columbia,27193
1974,British Columbia,31505
1975,British Columbia,9615
1976,British Columbia,-5035
1977,British Columbia,5016
1978,British Columbia,17576
1979,British Columbia,22005
1980,British Columbia,40164
1981,British Columbia,37864
1982,British Columbia,8705
1983,British Columbia,-1489
1984,British Columbia,6636
1985,British Columbia,-1969
1986,British Columbia,-4501
1987,British Columbia,7426
1988,British Columbia,21479
1989,British Columbia,27821
1990,British Columbia,41394
1991,British Columbia,34053
1992,British Columbia,38004
1993,British Columbia,40099
1994,British Columbia,37871
1995,British Columbia,29291
1996,British Columbia,22025
1997,British Columbia,9880
1998,British Columbia,-10029
1999,British Columbia,-14484
2000,British Columbia,-14610
2001,British Columbia,-8286
2002,British Columbia,-8556
2003,British Columbia,-1037
2004,British Columbia,7865
2005,British Columbia,8214
2006,British Columbia,8800
2007,British Columbia,15005
2008,British Columbia,14643
2009,British Columbia,9995
2010,British Columbia,8728
2011,British Columbia,3421
2012,British Columbia,-2711
2013,British Columbia,-1868
2014,British Columbia,9475
2015,British Columbia,20379
2016,British Columbia,26573
2017,British Columbia,18834
2018,British Columbia,13989
2019,British Columbia,13325
2020,British Columbia,16999
2021,British Columbia,25376
2022,British Columbia,26069
2023,British Columbia,3388
2024,British Columbia,-4127
2025,British Columbia,-2392
1962,Manitoba,-599
1963,Manitoba,-1020
1964,Manitoba,-3541
1965,Manitoba,-6937
1966,Manitoba,-12434
1967,Manitoba,-10603
1968,Manitoba,-6739
1969,Manitoba,-6392
1970,Manitoba,-9928
1971,Manitoba,-6564
1972,Manitoba,-8880
1973,Manitoba,-5489
1974,Manitoba,-1656
1975,Manitoba,-6119
1976,Manitoba,-4982
1977,Manitoba,-3531
1978,Manitoba,-4674
1979,Manitoba,-10746
1980,Manitoba,-13864
1981,Manitoba,-9403
1982,Manitoba,-2625
1983,Manitoba,2544
1984,Manitoba,339
1985,Manitoba,-595
1986,Manitoba,-2297
1987,Manitoba,-2759
1988,Manitoba,-5875
1989,Manitoba,-9313
1990,Manitoba,-10361
1991,Manitoba,-7540
1992,Manitoba,-7641
1993,Manitoba,-5544
1994,Manitoba,-4614
1995,Manitoba,-3220
1996,Manitoba,-3566
1997,Manitoba,-5873
1998,Manitoba,-5276
1999,Manitoba,-2113
2000,Manitoba,-3456
2001,Manitoba,-4323
2002,Manitoba,-4344
2003,Manitoba,-2875
2004,Manitoba,-2565
2005,Manitoba,-7227
2006,Manitoba,-7881
2007,Manitoba,-5500
2008,Manitoba,-3703
2009,Manitoba,-3111
2010,Manitoba,-2412
2011,Manitoba,-3517
2012,Manitoba,-4212
2013,Manitoba,-5006
2014,Manitoba,-6851
2015,Manitoba,-6678
2016,Manitoba,-4881
2017,Manitoba,-5124
2018,Manitoba,-7148
2019,Manitoba,-7351
2020,Manitoba,-8297
2021,Manitoba,-2804
2022,Manitoba,-7451
2023,Manitoba,-9928
2024,Manitoba,-8399
2025,Manitoba,-4047
1962,New Brunswick,-3635
1963,New Brunswick,-6056
1964,New Brunswick,-6216
1965,New Brunswick,-4597
1966,New Brunswick,-6226
1967,New Brunswick,-4573
1968,New Brunswick,-1099
1969,New Brunswick,-4224
1970,New Brunswick,-7489
1971,New Brunswick,-421
1972,New Brunswick,384
1973,New Brunswick,2102
1974,New Brunswick,2269
1975,New Brunswick,6037
1976,New Brunswick,5907
1977,New Brunswick,-82
1978,New Brunswick,-1348
1979,New Brunswick,-1171
1980,New Brunswick,-2761
1981,New Brunswick,-4989
1982,New Brunswick,-2842
1983,New Brunswick,3554
1984,New Brunswick,1792
1985,New Brunswick,-678
1986,New Brunswick,-1891
1987,New Brunswick,-2026
1988,New Brunswick,-1957
1989,New Brunswick,-598
1990,New Brunswick,169
1991,New Brunswick,923
1992,New Brunswick,-253
1993,New Brunswick,-1402
1994,New Brunswick,-671
1995,New Brunswick,-813
1996,New Brunswick,-369
1997,New Brunswick,-1263
1998,New Brunswick,-3192
1999,New Brunswick,-1244
2000,New Brunswick,-1183
2001,New Brunswick,-1530
