date,type,count
2021-07-01,Asylum claimants,168206
2021-10-01,Asylum claimants,162493
2022-01-01,Asylum claimants,161105
2022-04-01,Asylum claimants,166780
2022-07-01,Asylum claimants,178573
2022-10-01,Asylum claimants,194063
2023-01-01,Asylum claimants,218865
2023-04-01,Asylum claimants,238951
2023-07-01,Asylum claimants,257383
2023-10-01,Asylum claimants,288454
2024-01-01,Asylum claimants,328489
2024-04-01,Asylum claimants,363505
2024-07-01,Asylum claimants,398913
2024-10-01,Asylum claimants,429639
2025-01-01,Asylum claimants,459920
2025-04-01,Asylum claimants,479542
2025-07-01,Asylum claimants,497443
2025-10-01,Asylum claimants,504767
2026-01-01,Asylum claimants,518489
2026-04-01,Asylum claimants,525479
2021-07-01,Other,51505
2021-10-01,Other,55490
2022-01-01,Other,53585
2022-04-01,Other,59362
2022-07-01,Other,66091
2022-10-01,Other,74847
2023-01-01,Other,80765
2023-04-01,Other,87031
2023-07-01,Other,96656
2023-10-01,Other,110176
2024-01-01,Other,126932
2024-04-01,Other,145805
2024-07-01,Other,151067
2024-10-01,Other,155986
2025-01-01,Other,152812
2025-04-01,Other,149837
2025-07-01,Other,143951
2025-10-01,Other,136677
2026-01-01,Other,127584
2026-04-01,Other,119246
2021-07-01,Study permits,368708
2021-10-01,Study permits,426963
2022-01-01,Study permits,446782
2022-04-01,Study permits,450192
2022-07-01,Study permits,475124
2022-10-01,Study permits,523728
2023-01-01,Study permits,566201
2023-04-01,Study permits,556154
2023-07-01,Study permits,586812
2023-10-01,Study permits,661084
2024-01-01,Study permits,685835
2024-04-01,Study permits,667848
2024-07-01,Study permits,669137
2024-10-01,Study permits,658942
2025-01-01,Study permits,628810
2025-04-01,Study permits,583125
2025-07-01,Study permits,551100
2025-10-01,Study permits,477418
2026-01-01,Study permits,431537
2026-04-01,Study permits,394220
2021-07-01,Work + study permits,164855
2021-10-01,Work + study permits,162650
2022-01-01,Work + study permits,161101
2022-04-01,Work + study permits,169053
2022-07-01,Work + study permits,185693
2022-10-01,Work + study permits,204895
2023-01-01,Work + study permits,219616
2023-04-01,Work + study permits,236765
2023-07-01,Work + study permits,271434
2023-10-01,Work + study permits,296263
2024-01-01,Work + study permits,320838
2024-04-01,Work + study permits,346938
2024-07-01,Work + study permits,373792
2024-10-01,Work + study permits,341162
2025-01-01,Work + study permits,330060
2025-04-01,Work + study permits,331112
2025-07-01,Work + study permits,312040
2025-10-01,Work + study permits,244424
2026-01-01,Work + study permits,223265
2026-04-01,Work + study permits,223571
2021-07-01,Work permits,608581
2021-10-01,Work permits,635008
2022-01-01,Work permits,591133
2022-04-01,Work permits,602403
2022-07-01,Work permits,681089
2022-10-01,Work permits,803300
2023-01-01,Work permits,866970
2023-04-01,Work permits,934003
2023-07-01,Work permits,1045810
2023-10-01,Work permits,1216177
2024-01-01,Work permits,1279429
2024-04-01,Work permits,1379319
2024-07-01,Work permits,1446261
2024-10-01,Work permits,1563402
2025-01-01,Work permits,1566527
2025-04-01,Work permits,1539319
2025-07-01,Work permits,1519682
2025-10-01,Work permits,1484451
2026-01-01,Work permits,1375566
2026-04-01,Work permits,1296046
