date,npr,population,npr_share
2000-01-01,300840.0,30525872,0.9855246723173051
2000-04-01,313821.0,30594030,1.0257589470886967
2000-07-01,337156.0,30685730,1.0987387296961812
2000-10-01,317431.0,30783969,1.031156833610377
2001-01-01,334699.0,30824441,1.0858234217451015
2001-04-01,353473.0,30910996,1.1435186365395666
2001-07-01,383047.0,31020855,1.2348047789140564
2001-10-01,364717.0,31128873,1.171635735093911
2002-01-01,375554.0,31168896,1.2048999104748528
2002-04-01,386983.0,31252682,1.238239329347798
2002-07-01,412928.0,31359199,1.3167683268950843
2002-10-01,393850.0,31450677,1.25227828958976
2003-01-01,409740.0,31479415,1.30161249819922
2003-04-01,423754.0,31549344,1.3431467861899127
2003-07-01,436286.0,31642461,1.3787992027548046
2003-10-01,416793.0,31736141,1.3133071219969685
2004-01-01,425142.0,31775723,1.3379459532675306
2004-04-01,434102.0,31844704,1.3631842833269858
2004-07-01,450152.0,31938807,1.4094202078368174
2004-10-01,431018.0,32038207,1.3453249740224227
2005-01-01,435885.0,32075011,1.358955106827555
2005-04-01,443250.0,32140569,1.3790981734019705
2005-07-01,457042.0,32242732,1.4175039509679266
2005-10-01,434177.0,32353311,1.3419862962402829
2006-01-01,444716.0,32394909,1.3727959538333632
2006-04-01,459228.0,32470171,1.4143073037712057
2006-07-01,474360.0,32571193,1.456378954249542
2006-10-01,446918.0,32680839,1.3675230308499728
2007-01-01,463903.0,32717848,1.4178897096165983
2007-04-01,486652.0,32785964,1.484330306712958
2007-07-01,508165.0,32888886,1.5450964195017125
2007-10-01,490876.0,33001918,1.4874165798484802
2008-01-01,507006.0,33050262,1.5340453276890815
2008-04-01,538130.0,33127394,1.6244259962012102
2008-07-01,570673.0,33247298,1.716449258523204
2008-10-01,562545.0,33372978,1.6856302125629903
2009-01-01,586118.0,33427754,1.7533873200095944
2009-04-01,610016.0,33512305,1.8202746722435235
2009-07-01,636179.0,33630069,1.8916969810558522
2009-10-01,618522.0,33758581,1.8321919395841904
2010-01-01,631017.0,33809016,1.8664163429068743
2010-04-01,644259.0,33890461,1.901003943262973
2010-07-01,664431.0,34005902,1.95386965474405
2010-10-01,630449.0,34132531,1.8470619714664582
2011-01-01,640190.0,34166633,1.8737286755765488
2011-04-01,658983.0,34230555,1.9251309246957873
2011-07-01,683873.0,34339221,1.9915215898461995
2011-10-01,673251.0,34457713,1.953847024032036
2012-01-01,686857.0,34516032,1.9899651269300018
2012-04-01,714383.0,34592192,2.0651567845136847
2012-07-01,744971.0,34713395,2.1460620604812637
2012-10-01,719458.0,34834973,2.0653324462171967
2013-01-01,734097.0,34881794,2.104527651301421
2013-04-01,763904.0,34956567,2.1852946829704414
2013-07-01,802524.0,35080992,2.287632003108692
2013-10-01,772442.0,35209597,2.1938393671475422
2014-01-01,778488.0,35247023,2.2086631259610208
2014-04-01,796771.0,35320540,2.255829044516307
2014-07-01,830660.0,35434066,2.3442412733554203
2014-10-01,789412.0,35555305,2.2202368957318743
2015-01-01,778227.0,35571043,2.187810461447532
2015-04-01,786930.0,35606734,2.2100594791985135
2015-07-01,806912.0,35704498,2.2599729591492927
2015-10-01,780082.0,35823591,2.177565057618037
2016-01-01,792021.0,35871484,2.2079404353608565
2016-04-01,822378.0,35970407,2.286262704783963
2016-07-01,875553.0,36110803,2.424628995372936
2016-10-01,868804.0,36257421,2.396210144124702
2017-01-01,879154.0,36313068,2.4210402712323837
2017-04-01,926154.0,36397141,2.5445789821788476
2017-07-01,1004431.0,36545075,2.74847157927573
2017-10-01,1006838.0,36722075,2.7417786168129115
2018-01-01,1029406.0,36801579,2.797178892786095
2018-04-01,1088727.0,36903671,2.9501861752452756
2018-07-01,1165152.0,37072620,3.1428908989976967
2018-10-01,1161755.0,37259485,3.118011427157407
2019-01-01,1192298.0,37336956,3.1933454885824117
2019-04-01,1257560.0,37437243,3.3591148792660825
2019-07-01,1337589.0,37618495,3.5556685614350068
2019-10-01,1351536.0,37828162,3.5728302104659484
2020-01-01,1357645.0,37928208,3.579512641356533
2020-04-01,1332825.0,38006941,3.506793666977829
2020-07-01,1265127.0,38028638,3.3267744166909163
2020-10-01,1255470.0,38027406,3.3014873536207014
2021-01-01,1269097.0,38058291,3.3346137376478624
2021-04-01,1281106.0,38140918,3.358875630628502
2021-07-01,1361855.0,38239864,3.5613489629565627
2021-10-01,1442604.0,38460257,3.7508953723320153
2022-01-01,1413706.0,38565380,3.6657385458149254
2022-04-01,1447790.0,38693009,3.74173536103124
2022-07-01,1586570.0,38950132,4.073336644918174
2022-10-01,1800833.0,39284491,4.58408128541108
2023-01-01,1952417.0,39501329,4.942661549437995
2023-04-01,2052904.0,39727297,5.1674897489250275
2023-07-01,2258095.0,40049088,5.638318155959007
2023-10-01,2572154.0,40467722,6.356063234792411
2024-01-01,2741523.0,40724526,6.731872091034282
2024-04-01,2903415.0,40990297,7.0831762941361465
2024-07-01,3039170.0,41262329,7.365483417089715
2024-10-01,3149131.0,41494132,7.589340584350578
2025-01-01,3138129.0,41574517,7.548203145691386
2025-04-01,3082935.0,41604555,7.4100900730701245
2025-07-01,3024216.0,41651653,7.260734645993522
2025-10-01,2847737.0,41575585,6.849541624008418
2026-01-01,2676441.0,41472081,6.453597059670095
