date,geography,component,value
1972-01-01,Alberta,Births,29384.0
1973-01-01,Alberta,Births,29596.0
1974-01-01,Alberta,Births,29146.0
1975-01-01,Alberta,Births,30582.0
1976-01-01,Alberta,Births,32491.0
1977-01-01,Alberta,Births,33882.0
1978-01-01,Alberta,Births,34728.0
1979-01-01,Alberta,Births,36422.0
1980-01-01,Alberta,Births,37917.0
1981-01-01,Alberta,Births,41343.0
1982-01-01,Alberta,Births,44016.0
1983-01-01,Alberta,Births,45470.0
1984-01-01,Alberta,Births,44845.0
1985-01-01,Alberta,Births,43868.0
1986-01-01,Alberta,Births,44171.0
1987-01-01,Alberta,Births,42966.0
1988-01-01,Alberta,Births,41437.0
1989-01-01,Alberta,Births,43106.0
1990-01-01,Alberta,Births,43564.0
1991-01-01,Alberta,Births,42544.0
1992-01-01,Alberta,Births,42737.0
1993-01-01,Alberta,Births,40992.0
1994-01-01,Alberta,Births,40093.0
1995-01-01,Alberta,Births,39064.0
1996-01-01,Alberta,Births,38451.0
1997-01-01,Alberta,Births,37250.0
1998-01-01,Alberta,Births,37369.0
1999-01-01,Alberta,Births,38154.0
2000-01-01,Alberta,Births,37836.0
2001-01-01,Alberta,Births,37202.0
2002-01-01,Alberta,Births,37613.0
2003-01-01,Alberta,Births,39465.0
2004-01-01,Alberta,Births,40655.0
2005-01-01,Alberta,Births,41358.0
2006-01-01,Alberta,Births,43206.0
2007-01-01,Alberta,Births,47577.0
2008-01-01,Alberta,Births,49964.0
2009-01-01,Alberta,Births,51318.0
2010-01-01,Alberta,Births,51537.0
2011-01-01,Alberta,Births,50861.0
2012-01-01,Alberta,Births,51341.0
2013-01-01,Alberta,Births,53088.0
2014-01-01,Alberta,Births,54792.0
2015-01-01,Alberta,Births,56333.0
2016-01-01,Alberta,Births,56935.0
2017-01-01,Alberta,Births,54794.0
2018-01-01,Alberta,Births,52987.0
2019-01-01,Alberta,Births,52324.0
2020-01-01,Alberta,Births,50785.0
2021-01-01,Alberta,Births,49155.0
2022-01-01,Alberta,Births,48110.0
2023-01-01,Alberta,Births,47951.0
2024-01-01,Alberta,Births,50028.0
2025-01-01,Alberta,Births,52446.0
1972-01-01,Alberta,Deaths,10786.0
1973-01-01,Alberta,Deaths,10750.0
1974-01-01,Alberta,Deaths,10945.0
1975-01-01,Alberta,Deaths,11312.0
1976-01-01,Alberta,Deaths,11499.0
