date,geography,population
1951-07-01,Alberta,943000
1951-10-01,Alberta,950000
1952-01-01,Alberta,959000
1952-04-01,Alberta,965000
1952-07-01,Alberta,977000
1952-10-01,Alberta,985000
1953-01-01,Alberta,994000
1953-04-01,Alberta,1002000
1953-07-01,Alberta,1016000
1953-10-01,Alberta,1029000
1954-01-01,Alberta,1039000
1954-04-01,Alberta,1047000
1954-07-01,Alberta,1061000
1954-10-01,Alberta,1070000
1955-01-01,Alberta,1078000
1955-04-01,Alberta,1084000
1955-07-01,Alberta,1094000
1955-10-01,Alberta,1102000
1956-01-01,Alberta,1109000
1956-04-01,Alberta,1118000
1956-07-01,Alberta,1126000
1956-10-01,Alberta,1136000
1957-01-01,Alberta,1144000
1957-04-01,Alberta,1153000
1957-07-01,Alberta,1169000
1957-10-01,Alberta,1179000
1958-01-01,Alberta,1191000
1958-04-01,Alberta,1198000
1958-07-01,Alberta,1211000
1958-10-01,Alberta,1221000
1959-01-01,Alberta,1233000
1959-04-01,Alberta,1241000
1959-07-01,Alberta,1252000
1959-10-01,Alberta,1263000
1960-01-01,Alberta,1274000
1960-04-01,Alberta,1282000
1960-07-01,Alberta,1296000
1960-10-01,Alberta,1307000
1961-01-01,Alberta,1317000
1961-04-01,Alberta,1325000
1961-07-01,Alberta,1335000
1961-10-01,Alberta,1345000
1962-01-01,Alberta,1356000
1962-04-01,Alberta,1363000
1962-07-01,Alberta,1373000
1962-10-01,Alberta,1382000
1963-01-01,Alberta,1391000
1963-04-01,Alberta,1398000
1963-07-01,Alberta,1407000
1963-10-01,Alberta,1414000
1964-01-01,Alberta,1419000
1964-04-01,Alberta,1425000
1964-07-01,Alberta,1431000
1964-10-01,Alberta,1436000
1965-01-01,Alberta,1443000
1965-04-01,Alberta,1445000
1965-07-01,Alberta,1451000
1965-10-01,Alberta,1453000
1966-01-01,Alberta,1456000
1966-04-01,Alberta,1459000
1966-07-01,Alberta,1465000
1966-10-01,Alberta,1470000
1967-01-01,Alberta,1476000
1967-04-01,Alberta,1483000
1967-07-01,Alberta,1493000
1967-10-01,Alberta,1501000
1968-01-01,Alberta,1510000
1968-04-01,Alberta,1518000
1968-07-01,Alberta,1527000
1968-10-01,Alberta,1536000
1969-01-01,Alberta,1546000
1969-04-01,Alberta,1553000
1969-07-01,Alberta,1562000
1969-10-01,Alberta,1571000
1970-01-01,Alberta,1579000
1970-04-01,Alberta,1589000
1970-07-01,Alberta,1597000
1970-10-01,Alberta,1607000
1971-01-01,Alberta,1616000
1971-04-01,Alberta,1623000
1971-07-01,Alberta,1665717
1971-10-01,Alberta,1675638
1972-01-01,Alberta,1679985
1972-04-01,Alberta,1686758
1972-07-01,Alberta,1694090
1972-10-01,Alberta,1705519
1973-01-01,Alberta,1710866
1973-04-01,Alberta,1717910
1973-07-01,Alberta,1725327
1973-10-01,Alberta,1735396
1974-01-01,Alberta,1739942
1974-04-01,Alberta,1746975
1974-07-01,Alberta,1754621
1974-10-01,Alberta,1769880
1975-01-01,Alberta,1782575
1975-04-01,Alberta,1795097
1975-07-01,Alberta,1808689
1975-10-01,Alberta,1825051
1976-01-01,Alberta,1839191
1976-04-01,Alberta,1852651
1976-07-01,Alberta,1869287
1976-10-01,Alberta,1896466
1977-01-01,Alberta,1914570
1977-04-01,Alberta,1931214
1977-07-01,Alberta,1948263
1977-10-01,Alberta,1974721
1978-01-01,Alberta,1991454
1978-04-01,Alberta,2006745
1978-07-01,Alberta,2022241
1978-10-01,Alberta,2047919
1979-01-01,Alberta,2064776
1979-04-01,Alberta,2079840
1979-07-01,Alberta,2096966
1979-10-01,Alberta,2128647
1980-01-01,Alberta,2149996
1980-04-01,Alberta,2168863
1980-07-01,Alberta,2191029
1980-10-01,Alberta,2227159
1981-01-01,Alberta,2249907
1981-04-01,Alberta,2270227
1981-07-01,Alberta,2291104
1981-10-01,Alberta,2319715
1982-01-01,Alberta,2337458
1982-04-01,Alberta,2352042
1982-07-01,Alberta,2369827
1982-10-01,Alberta,2378405
1983-01-01,Alberta,2383354
1983-04-01,Alberta,2388090
1983-07-01,Alberta,2393587
1983-10-01,Alberta,2394239
1984-01-01,Alberta,2394892
1984-04-01,Alberta,2396706
1984-07-01,Alberta,2393907
1984-10-01,Alberta,2390913
1985-01-01,Alberta,2395813
1985-04-01,Alberta,2401499
1985-07-01,Alberta,2404490
1985-10-01,Alberta,2407001
1986-01-01,Alberta,2415590
1986-04-01,Alberta,2424950
1986-07-01,Alberta,2432930
1986-10-01,Alberta,2429949
1987-01-01,Alberta,2432958
1987-04-01,Alberta,2439074
1987-07-01,Alberta,2440877
1987-10-01,Alberta,2437537
1988-01-01,Alberta,2443396
1988-04-01,Alberta,2450646
1988-07-01,Alberta,2456614
1988-10-01,Alberta,2465242
1989-01-01,Alberta,2477533
1989-04-01,Alberta,2489032
1989-07-01,Alberta,2498325
1989-10-01,Alberta,2507203
1990-01-01,Alberta,2520056
1990-04-01,Alberta,2532621
1990-07-01,Alberta,2547788
1990-10-01,Alberta,2563142
1991-01-01,Alberta,2572947
1991-04-01,Alberta,2580625
1991-07-01,Alberta,2592306
1991-10-01,Alberta,2604031
1992-01-01,Alberta,2611786
1992-04-01,Alberta,2620771
1992-07-01,Alberta,2632672
1992-10-01,Alberta,2643421
1993-01-01,Alberta,2650886
1993-04-01,Alberta,2658293
1993-07-01,Alberta,2667292
1993-10-01,Alberta,2678623
1994-01-01,Alberta,2683346
1994-04-01,Alberta,2691443
1994-07-01,Alberta,2700606
1994-10-01,Alberta,2709011
1995-01-01,Alberta,2715701
1995-04-01,Alberta,2724946
1995-07-01,Alberta,2734519
1995-10-01,Alberta,2745255
1996-01-01,Alberta,2753463
1996-04-01,Alberta,2762903
1996-07-01,Alberta,2775133
1996-10-01,Alberta,2789691
1997-01-01,Alberta,2799561
1997-04-01,Alberta,2813157
1997-07-01,Alberta,2829848
1997-10-01,Alberta,2847526
1998-01-01,Alberta,2859305
1998-04-01,Alberta,2876753
1998-07-01,Alberta,2899066
1998-10-01,Alberta,2915781
1999-01-01,Alberta,2926079
1999-04-01,Alberta,2937393
1999-07-01,Alberta,2952692
1999-10-01,Alberta,2966682
2000-01-01,Alberta,2974517
2000-04-01,Alberta,2988465
2000-07-01,Alberta,3004198
2000-10-01,Alberta,3016947
2001-01-01,Alberta,3027941
2001-04-01,Alberta,3041238
2001-07-01,Alberta,3058554
2001-10-01,Alberta,3078756
2002-01-01,Alberta,3092506
2002-04-01,Alberta,3108716
2002-07-01,Alberta,3128757
2002-10-01,Alberta,3145227
2003-01-01,Alberta,3155370
2003-04-01,Alberta,3169295
2003-07-01,Alberta,3183291
2003-10-01,Alberta,3198059
2004-01-01,Alberta,3209557
2004-04-01,Alberta,3223659
2004-07-01,Alberta,3238817
2004-10-01,Alberta,3260721
2005-01-01,Alberta,3276908
2005-04-01,Alberta,3296359
2005-07-01,Alberta,3321839
2005-10-01,Alberta,3346802
2006-01-01,Alberta,3371851
2006-04-01,Alberta,3396809
2006-07-01,Alberta,3421435
2006-10-01,Alberta,3453945
2007-01-01,Alberta,3472779
2007-04-01,Alberta,3490849
2007-07-01,Alberta,3514151
2007-10-01,Alberta,3533414
2008-01-01,Alberta,3548804
2008-04-01,Alberta,3567475
2008-07-01,Alberta,3595875
2008-10-01,Alberta,3619319
2009-01-01,Alberta,3638505
2009-04-01,Alberta,3659235
2009-07-01,Alberta,3679010
2009-10-01,Alberta,3694318
2010-01-01,Alberta,3702290
2010-04-01,Alberta,3714999
2010-07-01,Alberta,3732104
2010-10-01,Alberta,3747235
2011-01-01,Alberta,3754422
2011-04-01,Alberta,3768774
2011-07-01,Alberta,3787705
2011-10-01,Alberta,3805071
2012-01-01,Alberta,3822425
2012-04-01,Alberta,3845093
2012-07-01,Alberta,3871947
2012-10-01,Alberta,3897746
2013-01-01,Alberta,3917941
2013-04-01,Alberta,3944281
2013-07-01,Alberta,3978532
2013-10-01,Alberta,4008421
2014-01-01,Alberta,4027497
2014-04-01,Alberta,4051858
2014-07-01,Alberta,4081271
2014-10-01,Alberta,4103702
2015-01-01,Alberta,4113697
2015-04-01,Alberta,4125943
2015-07-01,Alberta,4150147
2015-10-01,Alberta,4163048
2016-01-01,Alberta,4171847
2016-04-01,Alberta,4182353
2016-07-01,Alberta,4195427
2016-10-01,Alberta,4207139
2017-01-01,Alberta,4215506
2017-04-01,Alberta,4224933
2017-07-01,Alberta,4237310
2017-10-01,Alberta,4253530
2018-01-01,Alberta,4263957
2018-04-01,Alberta,4276444
2018-07-01,Alberta,4292556
2018-10-01,Alberta,4311439
2019-01-01,Alberta,4324254
2019-04-01,Alberta,4337569
2019-07-01,Alberta,4355377
2019-10-01,Alberta,4376860
2020-01-01,Alberta,4392958
2020-04-01,Alberta,4405455
2020-07-01,Alberta,4407495
2020-10-01,Alberta,4412013
2021-01-01,Alberta,4418338
2021-04-01,Alberta,4425617
2021-07-01,Alberta,4431531
2021-10-01,Alberta,4451129
2022-01-01,Alberta,4466136
2022-04-01,Alberta,4482503
