year,age_group,turnout
2004,18 to 24 years,37.280437184
2004,25 to 34 years,44.34162936
2004,35 to 44 years,54.868648616
2004,45 to 54 years,66.386171109
2004,55 to 64 years,73.356721959
2004,65 to 74 years,75.97322377
2004,75 years and over,64.30810362300001
2006,18 to 24 years,43.965630729
2006,25 to 34 years,49.933624543
2006,35 to 44 years,61.792121671
2006,45 to 54 years,70.175788726
2006,55 to 64 years,75.53696622300001
2006,65 to 74 years,77.682723595
2006,75 years and over,61.775492148
2008,18 to 24 years,37.365386572
2008,25 to 34 years,47.952395538
2008,35 to 44 years,53.88377679600001
2008,45 to 54 years,59.72478558299999
2008,55 to 64 years,65.590343073
2008,65 to 74 years,68.40241770499999
2008,75 years and over,67.29397801
2011,18 to 24 years,38.808770804
2011,25 to 34 years,45.104928415
2011,35 to 44 years,54.492550239
2011,45 to 54 years,64.536918678
2011,55 to 64 years,71.470673948
2011,65 to 74 years,75.139772396
2011,75 years and over,60.345654581999995
2015,18 to 24 years,57.0610787
2015,25 to 34 years,57.4388601
2015,35 to 44 years,61.9057741
2015,45 to 54 years,66.6155544
2015,55 to 64 years,73.7304768
2015,65 to 74 years,78.7932266
2015,75 years and over,67.415336
2019,18 to 24 years,53.875697906603705
2019,25 to 34 years,58.3881700672681
2019,35 to 44 years,64.58514071101081
2019,45 to 54 years,68.13938821100169
2019,55 to 64 years,73.2856517630299
2019,65 to 74 years,79.0699532112279
2019,75 years and over,68.5947628551834
2021,18 to 24 years,46.7009141014047
2021,25 to 34 years,52.7720885943962
2021,35 to 44 years,59.003455057697195
2021,45 to 54 years,63.77087291884111
2021,55 to 64 years,68.2882714060823
2021,65 to 74 years,74.9408943001667
2021,75 years and over,65.8713597590462
2025,18 to 24 years,55.877083567762
2025,25 to 34 years,59.6031592482432
2025,35 to 44 years,65.4305585281603
2025,45 to 54 years,70.4760215799849
2025,55 to 64 years,73.3896899876104
2025,65 to 74 years,77.5685767972051
2025,75 years and over,69.142973667896
