country_code,country_name,year,fertility_rate
AUS,Australia,1960,3.453
AUS,Australia,1961,3.54
AUS,Australia,1962,3.442
AUS,Australia,1963,3.332
AUS,Australia,1964,3.146
AUS,Australia,1965,2.977
AUS,Australia,1966,2.881
AUS,Australia,1967,2.848
AUS,Australia,1968,2.888
AUS,Australia,1969,2.886
AUS,Australia,1970,2.859
AUS,Australia,1971,2.961
AUS,Australia,1972,2.744
AUS,Australia,1973,2.491
AUS,Australia,1974,2.397
AUS,Australia,1975,2.148
AUS,Australia,1976,2.06
AUS,Australia,1977,2.007
AUS,Australia,1978,1.949
AUS,Australia,1979,1.907
AUS,Australia,1980,1.891
AUS,Australia,1981,1.935
AUS,Australia,1982,1.929
AUS,Australia,1983,1.924
AUS,Australia,1984,1.84
AUS,Australia,1985,1.923
AUS,Australia,1986,1.868
AUS,Australia,1987,1.845
AUS,Australia,1988,1.831
AUS,Australia,1989,1.838
AUS,Australia,1990,1.902
AUS,Australia,1991,1.849
AUS,Australia,1992,1.888
AUS,Australia,1993,1.859
AUS,Australia,1994,1.842
AUS,Australia,1995,1.822
AUS,Australia,1996,1.796
AUS,Australia,1997,1.778
AUS,Australia,1998,1.762
AUS,Australia,1999,1.755
AUS,Australia,2000,1.756
AUS,Australia,2001,1.739
AUS,Australia,2002,1.756
AUS,Australia,2003,1.748
AUS,Australia,2004,1.768
AUS,Australia,2005,1.807
AUS,Australia,2006,1.908
AUS,Australia,2007,1.959
AUS,Australia,2008,1.984
AUS,Australia,2009,1.971
AUS,Australia,2010,1.928
AUS,Australia,2011,1.926
AUS,Australia,2012,1.92
AUS,Australia,2013,1.855
AUS,Australia,2014,1.826
AUS,Australia,2015,1.814
AUS,Australia,2016,1.752
AUS,Australia,2017,1.741
AUS,Australia,2018,1.74
AUS,Australia,2019,1.657
AUS,Australia,2020,1.581
AUS,Australia,2021,1.7
AUS,Australia,2022,1.63
AUS,Australia,2023,1.499
AUS,Australia,2024,1.481
CAN,Canada,1960,3.811
CAN,Canada,1961,3.753
CAN,Canada,1962,3.681
CAN,Canada,1963,3.607
CAN,Canada,1964,3.456
CAN,Canada,1965,3.115
CAN,Canada,1966,2.749
CAN,Canada,1967,2.528
CAN,Canada,1968,2.386
