country_code,country_name,year,direct,tax,total
AUS,Australia,2000,0.0265,0.087200001,0.1137
AUS,Australia,2001,0.039999999,0.088799998,0.1288
AUS,Australia,2002,0.032400001,0.1054,0.1378
AUS,Australia,2003,0.035799999,0.1127,0.1485
AUS,Australia,2004,0.039500002,0.1181,0.1576
AUS,Australia,2005,0.041999999,0.13150001,0.1735
AUS,Australia,2006,0.0447,0.13680001,0.1815
AUS,Australia,2007,0.035700001,0.14030001,0.176
AUS,Australia,2008,0.0276,0.16580001,0.1934
AUS,Australia,2009,0.0255,0.1604,0.1859
AUS,Australia,2010,0.0221,0.1552,0.1773
AUS,Australia,2011,0.022700001,0.22229999,0.245
AUS,Australia,2012,0.0241,0.2158,0.2399
AUS,Australia,2013,0.0251,0.19769999,0.2228
AUS,Australia,2014,0.023499999,0.1957,0.2192
AUS,Australia,2015,0.0219,0.1927,0.2146
AUS,Australia,2016,0.0222,0.16940001,0.1916
AUS,Australia,2017,0.022600001,0.15899999,0.1816
AUS,Australia,2018,0.0241,0.1552,0.1793
AUS,Australia,2019,0.0265,0.1561,0.1826
AUS,Australia,2020,0.0308,0.16159999,0.1924
AUS,Australia,2021,0.032499999,0.1822,0.2147
AUS,Australia,2022,0.031500001,0.19050001,0.222
AUS,Australia,2023,0.032099999,0.1901,0.2222
CAN,Canada,2000,0.025699999,0.21610001,0.2418
CAN,Canada,2001,0.044399999,0.2527,0.2971
CAN,Canada,2002,0.0296,0.23010001,0.2597
CAN,Canada,2003,0.0294,0.2207,0.2501
CAN,Canada,2004,0.024700001,0.25009999,0.2748
CAN,Canada,2005,0.029100001,0.22040001,0.2495
CAN,Canada,2006,0.0277,0.2165,0.2442
CAN,Canada,2007,0.0222,0.2317,0.2539
CAN,Canada,2008,0.023499999,0.2221,0.2456
CAN,Canada,2009,0.0288,0.2296,0.2584
CAN,Canada,2010,0.035399999,0.2194,0.2548
CAN,Canada,2011,0.034200002,0.2112,0.2454
CAN,Canada,2012,0.035100002,0.2217,0.2568
CAN,Canada,2013,0.0359,0.2115,0.2474
CAN,Canada,2014,0.040899999,0.1717,0.2126
CAN,Canada,2015,0.041700002,0.1758,0.2175
CAN,Canada,2016,0.049899999,0.18440001,0.2343
CAN,Canada,2017,0.060400002,0.19329999,0.2537
CAN,Canada,2018,0.056000002,0.18279999,0.2388
CAN,Canada,2019,0.057300001,0.19840001,0.2557
CAN,Canada,2020,0.0744,0.2158,0.2902
CAN,Canada,2021,0.079099998,0.21780001,0.2969
CAN,Canada,2022,0.070699997,0.21619999,0.2869
CAN,Canada,2023,0.0572,0.2043,0.2615
CAN,Canada,2024,0.0513,0.2102,0.2615
CHE,Switzerland,2000,0.037799999,0.037799999,0.0756
CHE,Switzerland,2004,0.0285,0.0285,0.057
CHE,Switzerland,2008,0.031800002,0.031800002,0.0636
CHE,Switzerland,2012,0.0162,0.0162,0.0324
CHE,Switzerland,2015,0.032099999,0.032099999,0.0642
CHE,Switzerland,2016,0.0272,0.0272,0.0544
CHE,Switzerland,2017,0.022500001,0.022500001,0.045
