country_code,country_name,year,patents_per_million
AUS,Australia,2000,27.16
AUS,Australia,2001,24.08
AUS,Australia,2002,25.18
AUS,Australia,2003,25.18
AUS,Australia,2004,26.1
AUS,Australia,2005,23.75
AUS,Australia,2006,17.73
AUS,Australia,2007,16.69
AUS,Australia,2008,14.9
AUS,Australia,2009,16.23
AUS,Australia,2010,13.96
AUS,Australia,2011,14.32
AUS,Australia,2012,14.84
AUS,Australia,2013,13.35
AUS,Australia,2014,13.71
AUS,Australia,2015,14.65
AUS,Australia,2016,15.38
AUS,Australia,2017,15.21
AUS,Australia,2018,16.61
AUS,Australia,2019,17.58
AUS,Australia,2020,16.09
AUS,Australia,2021,13.74
AUS,Australia,2022,12.46
AUS,Australia,2023,12.29
CAN,Canada,2000,19.93
CAN,Canada,2001,20.51
CAN,Canada,2002,21.63
CAN,Canada,2003,21.35
CAN,Canada,2004,23.06
CAN,Canada,2005,22.33
CAN,Canada,2006,20.46
CAN,Canada,2007,20.84
CAN,Canada,2008,20.63
CAN,Canada,2009,20.04
CAN,Canada,2010,16.28
CAN,Canada,2011,16.94
CAN,Canada,2012,15.26
CAN,Canada,2013,17.68
CAN,Canada,2014,16.77
CAN,Canada,2015,16.5
CAN,Canada,2016,18.18
CAN,Canada,2017,17.36
CAN,Canada,2018,18.88
CAN,Canada,2019,19.12
CAN,Canada,2020,18.04
CAN,Canada,2021,18.28
CAN,Canada,2022,17.53
CAN,Canada,2023,17.09
CHE,Switzerland,2000,138.55
CHE,Switzerland,2001,135.17
CHE,Switzerland,2002,134.93
CHE,Switzerland,2003,140.92
CHE,Switzerland,2004,147.36
CHE,Switzerland,2005,144.66
CHE,Switzerland,2006,152.77
CHE,Switzerland,2007,132.9
CHE,Switzerland,2008,129.14
CHE,Switzerland,2009,125.23
CHE,Switzerland,2010,135.72
CHE,Switzerland,2011,134.22
CHE,Switzerland,2012,142.85
CHE,Switzerland,2013,138.03
CHE,Switzerland,2014,144.26
CHE,Switzerland,2015,147.72
CHE,Switzerland,2016,144.69
CHE,Switzerland,2017,151.42
CHE,Switzerland,2018,156.49
CHE,Switzerland,2019,168.06
CHE,Switzerland,2020,172.92
CHE,Switzerland,2021,166.59
CHE,Switzerland,2022,172.89
CHE,Switzerland,2023,167.78
DEU,Germany,2000,93.8
DEU,Germany,2001,88.73
DEU,Germany,2002,84.4
DEU,Germany,2003,82.73
DEU,Germany,2004,85.9
DEU,Germany,2005,87.85
DEU,Germany,2006,80.52
DEU,Germany,2007,71.72
DEU,Germany,2008,67.87
DEU,Germany,2009,69.01
DEU,Germany,2010,63.07
DEU,Germany,2011,60.09
DEU,Germany,2012,57.14
DEU,Germany,2013,60.97
DEU,Germany,2014,57.68
DEU,Germany,2015,58.54
DEU,Germany,2016,60.18
DEU,Germany,2017,58.05
DEU,Germany,2018,51.1
DEU,Germany,2019,56.72
DEU,Germany,2020,52.73
DEU,Germany,2021,51.25
DEU,Germany,2022,50.4
DEU,Germany,2023,49.28
DNK,Denmark,2000,54.29
DNK,Denmark,2001,52.4
DNK,Denmark,2002,53.64
DNK,Denmark,2003,57.92
DNK,Denmark,2004,68.16
DNK,Denmark,2005,71.97
DNK,Denmark,2006,58.38
DNK,Denmark,2007,57.96
DNK,Denmark,2008,62.44
DNK,Denmark,2009,46.42
DNK,Denmark,2010,54.28
DNK,Denmark,2011,46.49
DNK,Denmark,2012,50.55
DNK,Denmark,2013,47.38
DNK,Denmark,2014,54.21
DNK,Denmark,2015,57.39
DNK,Denmark,2016,53.35
DNK,Denmark,2017,53.61
DNK,Denmark,2018,56.24
DNK,Denmark,2019,51.85
DNK,Denmark,2020,64.88
DNK,Denmark,2021,61.73
DNK,Denmark,2022,60.98
DNK,Denmark,2023,60.96
FIN,Finland,2000,83.75
FIN,Finland,2001,80.43
FIN,Finland,2002,61.13
FIN,Finland,2003,67.21
FIN,Finland,2004,75.92
FIN,Finland,2005,74.64
FIN,Finland,2006,56.53
FIN,Finland,2007,49.03
FIN,Finland,2008,47.62
FIN,Finland,2009,41.49
FIN,Finland,2010,42.36
FIN,Finland,2011,42.27
FIN,Finland,2012,53.46
FIN,Finland,2013,49.86
FIN,Finland,2014,57.34
FIN,Finland,2015,49.02
FIN,Finland,2016,51.12
FIN,Finland,2017,56.17
FIN,Finland,2018,57.27
FIN,Finland,2019,60.29
FIN,Finland,2020,64.47
FIN,Finland,2021,67.56
FIN,Finland,2022,66.32
FIN,Finland,2023,66.29
FRA,France,2000,48.18
FRA,France,2001,45.9
FRA,France,2002,44.69
FRA,France,2003,44.42
FRA,France,2004,47.48
FRA,France,2005,48.43
FRA,France,2006,45.48
FRA,France,2007,43.7
FRA,France,2008,44.99
FRA,France,2009,42.34
FRA,France,2010,38.04
FRA,France,2011,39.96
FRA,France,2012,37.3
FRA,France,2013,36.95
FRA,France,2014,37.82
FRA,France,2015,34.82
FRA,France,2016,32.36
FRA,France,2017,30.63
FRA,France,2018,30.6
FRA,France,2019,32.01
FRA,France,2020,30.23
FRA,France,2021,29.28
FRA,France,2022,29.19
FRA,France,2023,28.78
GBR,United Kingdom,2000,40.09
GBR,United Kingdom,2001,38.74
GBR,United Kingdom,2002,37.49
GBR,United Kingdom,2003,36.87
GBR,United Kingdom,2004,34.97
GBR,United Kingdom,2005,35.86
GBR,United Kingdom,2006,34.44
GBR,United Kingdom,2007,29.41
GBR,United Kingdom,2008,27.42
GBR,United Kingdom,2009,27.69
GBR,United Kingdom,2010,26.43
GBR,United Kingdom,2011,27.28
GBR,United Kingdom,2012,26.74
GBR,United Kingdom,2013,28.49
GBR,United Kingdom,2014,26.03
GBR,United Kingdom,2015,25.93
GBR,United Kingdom,2016,25.17
GBR,United Kingdom,2017,25.66
GBR,United Kingdom,2018,26.35
GBR,United Kingdom,2019,28.89
GBR,United Kingdom,2020,29.77
GBR,United Kingdom,2021,27.81
GBR,United Kingdom,2022,27.09
GBR,United Kingdom,2023,26.44
ISR,Israel,2000,59.96
ISR,Israel,2001,57.75
ISR,Israel,2002,47.91
ISR,Israel,2003,53.09
ISR,Israel,2004,60.54
ISR,Israel,2005,71.53
ISR,Israel,2006,58.06
ISR,Israel,2007,48.01
ISR,Israel,2008,49.5
ISR,Israel,2009,49.53
ISR,Israel,2010,45.78
ISR,Israel,2011,46.44
ISR,Israel,2012,49.6
ISR,Israel,2013,53.23
ISR,Israel,2014,54.57
ISR,Israel,2015,60.54
ISR,Israel,2016,57.17
ISR,Israel,2017,68.31
ISR,Israel,2018,67.12
ISR,Israel,2019,78.88
ISR,Israel,2020,72.1
ISR,Israel,2021,68.37
ISR,Israel,2022,60.89
ISR,Israel,2023,57.88
ITA,Italy,2000,14.61
ITA,Italy,2001,16.05
ITA,Italy,2002,16.24
ITA,Italy,2003,15.64
ITA,Italy,2004,16.82
ITA,Italy,2005,16.6
ITA,Italy,2006,14.07
ITA,Italy,2007,12.41
ITA,Italy,2008,12.83
ITA,Italy,2009,12.35
ITA,Italy,2010,11.42
ITA,Italy,2011,12.0
ITA,Italy,2012,12.03
