year,fiscal_year,agency,agency_full,nominal
2000,2000/01,National Research Council,National Research Council Canada,591.0
2000,2000/01,NSERC,Natural Sciences and Engineering Research Council of Canada,500.0
2000,2000/01,Natural Resources Canada,Natural Resources Canada,388.0
2000,2000/01,CIHR,Canadian Institutes of Health Research,384.0
2000,2000/01,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,354.0
2000,2000/01,Canadian Space Agency,Canadian Space Agency,298.0
2000,2000/01,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",288.0
2000,2000/01,National Defence,National Defence,274.0
2000,2000/01,Other departments & agencies,Other departments and agencies,236.0
2000,2000/01,CFI,Canada Foundation for Innovation,188.0
2000,2000/01,Environment & Climate Change,Environment and Climate Change Canada,144.0
2000,2000/01,Atomic Energy of Canada,Atomic Energy of Canada Limited,136.0
2000,2000/01,Fisheries & Oceans,Fisheries and Oceans Canada,130.0
2000,2000/01,SSHRC,Social Sciences and Humanities Research Council of Canada,105.0
2000,2000/01,Health Canada,Health Canada,65.0
2000,2000/01,Cdn Int'l Development Agency,Canadian International Development Agency,57.0
2000,2000/01,Statistics Canada,Statistics Canada,13.0
2001,2001/02,National Research Council,National Research Council Canada,644.0
2001,2001/02,CIHR,Canadian Institutes of Health Research,522.0
2001,2001/02,NSERC,Natural Sciences and Engineering Research Council of Canada,517.0
2001,2001/02,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",503.0
2001,2001/02,Natural Resources Canada,Natural Resources Canada,335.0
2001,2001/02,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,329.0
2001,2001/02,SSHRC,Social Sciences and Humanities Research Council of Canada,325.0
2001,2001/02,Canadian Space Agency,Canadian Space Agency,317.0
2001,2001/02,National Defence,National Defence,281.0
2001,2001/02,Other departments & agencies,Other departments and agencies,280.0
2001,2001/02,CFI,Canada Foundation for Innovation,239.0
2001,2001/02,Environment & Climate Change,Environment and Climate Change Canada,222.0
2001,2001/02,Atomic Energy of Canada,Atomic Energy of Canada Limited,178.0
2001,2001/02,Fisheries & Oceans,Fisheries and Oceans Canada,123.0
2001,2001/02,Health Canada,Health Canada,102.0
2001,2001/02,Cdn Int'l Development Agency,Canadian International Development Agency,56.0
2001,2001/02,Statistics Canada,Statistics Canada,16.0
