year,fiscal_year,performer,nominal,share
2000,2000/01,Granted out (extramural),2070.0,49.9
2000,2000/01,In-house (intramural),2080.0,50.1
2001,2001/02,Granted out (extramural),2886.0,57.8
2001,2001/02,In-house (intramural),2103.0,42.2
2002,2002/03,Granted out (extramural),2737.0,55.6
2002,2002/03,In-house (intramural),2190.0,44.4
2003,2003/04,Granted out (extramural),3379.0,61.9
2003,2003/04,In-house (intramural),2083.0,38.1
2004,2004/05,Granted out (extramural),3371.0,61.8
2004,2004/05,In-house (intramural),2084.0,38.2
2005,2005/06,Granted out (extramural),3628.0,60.0
2005,2005/06,In-house (intramural),2414.0,40.0
2006,2006/07,Granted out (extramural),3577.0,58.9
2006,2006/07,In-house (intramural),2496.0,41.1
2007,2007/08,Granted out (extramural),3989.0,61.2
2007,2007/08,In-house (intramural),2532.0,38.8
2008,2008/09,Granted out (extramural),3974.0,60.5
2008,2008/09,In-house (intramural),2599.0,39.5
2009,2009/10,Granted out (extramural),4612.0,62.5
2009,2009/10,In-house (intramural),2762.0,37.5
2010,2010/11,Granted out (extramural),4738.0,62.3
2010,2010/11,In-house (intramural),2863.0,37.7
2011,2011/12,Granted out (extramural),4381.0,63.5
2011,2011/12,In-house (intramural),2520.0,36.5
2012,2012/13,Granted out (extramural),4483.0,64.9
2012,2012/13,In-house (intramural),2428.0,35.1
2013,2013/14,Granted out (extramural),4428.0,63.4
2013,2013/14,In-house (intramural),2551.0,36.6
2014,2014/15,Granted out (extramural),4153.0,61.4
2014,2014/15,In-house (intramural),2606.0,38.6
2015,2015/16,Granted out (extramural),4594.0,69.4
2015,2015/16,In-house (intramural),2027.0,30.6
2016,2016/17,Granted out (extramural),5089.0,71.8
2016,2016/17,In-house (intramural),2003.0,28.2
2017,2017/18,Granted out (extramural),5535.0,71.5
2017,2017/18,In-house (intramural),2207.0,28.5
2018,2018/19,Granted out (extramural),5225.0,69.2
2018,2018/19,In-house (intramural),2329.0,30.8
2019,2019/20,Granted out (extramural),5490.0,70.3
2019,2019/20,In-house (intramural),2317.0,29.7
2020,2020/21,Granted out (extramural),6534.0,70.2
2020,2020/21,In-house (intramural),2779.0,29.8
2021,2021/22,Granted out (extramural),6356.0,72.8
2021,2021/22,In-house (intramural),2373.0,27.2
2022,2022/23,Granted out (extramural),6511.0,72.6
2022,2022/23,In-house (intramural),2463.0,27.4
2023,2023/24,Granted out (extramural),6494.0,71.1
2023,2023/24,In-house (intramural),2641.0,28.9
2024,2024/25,Granted out (extramural),7376.0,71.3
2024,2024/25,In-house (intramural),2963.0,28.7
2025,2025/26,Granted out (extramural),7854.0,72.2
2025,2025/26,In-house (intramural),3024.0,27.8
2026,2026/27,Granted out (extramural),7615.0,70.3
2026,2026/27,In-house (intramural),3223.0,29.7
