period,sector,share
2026-05,Real estate,13.2
2026-05,Manufacturing,8.45
2026-05,Health & social assistance,8.16
2026-05,Finance & insurance,7.71
2026-05,Public administration,7.21
2026-05,Construction,7.21
2026-05,Professional & scientific,7.1
2026-05,Wholesale trade,5.43
2026-05,"Mining, oil & gas",5.29
2026-05,Retail trade,5.29
2026-05,Education,5.25
2026-05,Transportation & warehousing,4.54
2026-05,Information & culture,3.53
2026-05,Admin & support,2.59
2026-05,Accommodation & food,2.26
2026-05,Utilities,2.06
2026-05,Other services,1.91
2026-05,Agriculture & forestry,1.88
2026-05,Arts & recreation,0.82
2026-05,Management of companies,0.02
