year,fiscal_year,agency,nominal,real
2000,2000/01,All federal agencies,4150.0,5763.8
2000,2000/01,CFI,188.0,261.1
2000,2000/01,CIHR,384.0,533.3
2000,2000/01,NSERC,500.0,694.4
2000,2000/01,SSHRC,105.0,145.8
2001,2001/02,All federal agencies,4989.0,6824.9
2001,2001/02,CFI,239.0,326.9
2001,2001/02,CIHR,522.0,714.1
2001,2001/02,NSERC,517.0,707.3
2001,2001/02,SSHRC,325.0,444.6
2002,2002/03,All federal agencies,4927.0,6658.4
2002,2002/03,CFI,332.0,448.7
2002,2002/03,CIHR,622.0,840.6
2002,2002/03,NSERC,573.0,774.4
2002,2002/03,SSHRC,148.0,200.0
2003,2003/04,All federal agencies,5462.0,7149.4
2003,2003/04,CFI,365.0,477.8
2003,2003/04,CIHR,687.0,899.2
2003,2003/04,NSERC,638.0,835.1
2003,2003/04,SSHRC,402.0,526.2
2004,2004/05,All federal agencies,5454.0,6912.7
2004,2004/05,CFI,271.0,343.5
2004,2004/05,CIHR,749.0,949.3
2004,2004/05,NSERC,706.0,894.8
2004,2004/05,SSHRC,444.0,562.8
2005,2005/06,All federal agencies,6042.0,7422.3
2005,2005/06,CFI,437.0,536.8
2005,2005/06,CIHR,795.0,976.6
2005,2005/06,NSERC,755.0,927.5
2005,2005/06,SSHRC,478.0,587.2
2006,2006/07,All federal agencies,6073.0,7272.7
2006,2006/07,CFI,367.0,439.5
2006,2006/07,CIHR,838.0,1003.5
2006,2006/07,NSERC,788.0,943.7
2006,2006/07,SSHRC,523.0,626.3
2007,2007/08,All federal agencies,6521.0,7564.8
2007,2007/08,CFI,310.0,359.6
2007,2007/08,CIHR,970.0,1125.3
2007,2007/08,NSERC,891.0,1033.6
2007,2007/08,SSHRC,540.0,626.4
2008,2008/09,All federal agencies,6573.0,7328.0
2008,2008/09,CFI,385.0,429.2
2008,2008/09,CIHR,957.0,1066.9
2008,2008/09,NSERC,896.0,998.9
2008,2008/09,SSHRC,559.0,623.2
2009,2009/10,All federal agencies,7374.0,8417.8
2009,2009/10,CFI,392.0,447.5
2009,2009/10,CIHR,957.0,1092.5
2009,2009/10,NSERC,911.0,1040.0
2009,2009/10,SSHRC,555.0,633.6
2010,2010/11,All federal agencies,7601.0,8436.0
2010,2010/11,CFI,473.0,525.0
2010,2010/11,CIHR,989.0,1097.6
2010,2010/11,NSERC,938.0,1041.0
2010,2010/11,SSHRC,555.0,616.0
2011,2011/12,All federal agencies,6901.0,7420.0
2011,2011/12,CFI,441.0,474.2
2011,2011/12,CIHR,975.0,1048.3
2011,2011/12,NSERC,959.0,1031.1
2011,2011/12,SSHRC,566.0,608.6
2012,2012/13,All federal agencies,6911.0,7344.0
2012,2012/13,CFI,563.0,598.3
2012,2012/13,CIHR,968.0,1028.6
2012,2012/13,NSERC,956.0,1015.9
2012,2012/13,SSHRC,573.0,608.9
2013,2013/14,All federal agencies,6978.0,7284.0
2013,2013/14,CFI,420.0,438.4
2013,2013/14,CIHR,969.0,1011.5
2013,2013/14,NSERC,951.0,992.7
2013,2013/14,SSHRC,571.0,596.0
2014,2014/15,All federal agencies,6758.0,6924.0
2014,2014/15,CFI,404.0,413.9
2014,2014/15,CIHR,991.0,1015.3
2014,2014/15,NSERC,972.0,995.9
2014,2014/15,SSHRC,588.0,602.4
2015,2015/16,All federal agencies,6620.0,6839.0
2015,2015/16,CFI,341.0,352.3
2015,2015/16,CIHR,999.0,1032.0
2015,2015/16,NSERC,1001.0,1034.1
2015,2015/16,SSHRC,594.0,613.7
2016,2016/17,All federal agencies,7092.0,7274.0
2016,2016/17,CFI,335.0,343.6
2016,2016/17,CIHR,1042.0,1068.7
2016,2016/17,NSERC,1082.0,1109.8
2016,2016/17,SSHRC,646.0,662.6
2017,2017/18,All federal agencies,7742.0,7742.0
2017,2017/18,CFI,385.0,385.0
2017,2017/18,CIHR,1057.0,1057.0
2017,2017/18,NSERC,1106.0,1106.0
2017,2017/18,SSHRC,656.0,656.0
2018,2018/19,All federal agencies,7554.0,7428.0
2018,2018/19,CFI,401.0,394.3
2018,2018/19,CIHR,1113.0,1094.4
2018,2018/19,NSERC,1213.0,1192.8
2018,2018/19,SSHRC,742.0,729.6
2019,2019/20,All federal agencies,7807.0,7565.0
2019,2019/20,CFI,374.0,362.4
2019,2019/20,CIHR,1157.0,1121.1
2019,2019/20,NSERC,1243.0,1204.5
2019,2019/20,SSHRC,804.0,779.1
2020,2020/21,All federal agencies,9313.0,8929.0
2020,2020/21,CFI,389.0,373.0
2020,2020/21,CIHR,1457.0,1396.9
2020,2020/21,NSERC,1256.0,1204.2
2020,2020/21,SSHRC,1271.0,1218.6
2021,2021/22,All federal agencies,8729.0,7759.0
2021,2021/22,CFI,376.0,334.2
