year,fiscal_year,agency,agency_full,component,ftes
2000,2000/01,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Related scientific activities,69.0
2000,2000/01,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,Research and development,2800.0
2000,2000/01,Agriculture & Agri-Food,Agriculture and Agri-Food Canada,"Total, science and technology",2869.0
2000,2000/01,All federal agencies,Total departments and agencies,Related scientific activities,17437.0
2000,2000/01,All federal agencies,Total departments and agencies,Research and development,14702.0
2000,2000/01,All federal agencies,Total departments and agencies,"Total, science and technology",32139.0
2000,2000/01,Atomic Energy of Canada,Atomic Energy of Canada Limited,Research and development,886.0
2000,2000/01,Atomic Energy of Canada,Atomic Energy of Canada Limited,"Total, science and technology",886.0
2000,2000/01,CFI,Canada Foundation for Innovation,Research and development,23.0
2000,2000/01,CFI,Canada Foundation for Innovation,"Total, science and technology",23.0
2000,2000/01,CIHR,Canadian Institutes of Health Research,Related scientific activities,5.0
2000,2000/01,CIHR,Canadian Institutes of Health Research,Research and development,135.0
2000,2000/01,CIHR,Canadian Institutes of Health Research,"Total, science and technology",140.0
2000,2000/01,Canadian Space Agency,Canadian Space Agency,Related scientific activities,45.0
2000,2000/01,Canadian Space Agency,Canadian Space Agency,Research and development,374.0
2000,2000/01,Canadian Space Agency,Canadian Space Agency,"Total, science and technology",419.0
2000,2000/01,Cdn Int'l Development Agency,Canadian International Development Agency,Related scientific activities,187.0
2000,2000/01,Cdn Int'l Development Agency,Canadian International Development Agency,Research and development,23.0
2000,2000/01,Cdn Int'l Development Agency,Canadian International Development Agency,"Total, science and technology",210.0
2000,2000/01,Environment & Climate Change,Environment and Climate Change Canada,Related scientific activities,2152.0
2000,2000/01,Environment & Climate Change,Environment and Climate Change Canada,Research and development,840.0
2000,2000/01,Environment & Climate Change,Environment and Climate Change Canada,"Total, science and technology",2992.0
2000,2000/01,Fisheries & Oceans,Fisheries and Oceans Canada,Related scientific activities,1498.0
2000,2000/01,Fisheries & Oceans,Fisheries and Oceans Canada,Research and development,902.0
2000,2000/01,Fisheries & Oceans,Fisheries and Oceans Canada,"Total, science and technology",2400.0
2000,2000/01,Health Canada,Health Canada,Related scientific activities,1319.0
2000,2000/01,Health Canada,Health Canada,Research and development,524.0
2000,2000/01,Health Canada,Health Canada,"Total, science and technology",1842.0
2000,2000/01,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Related scientific activities,623.0
2000,2000/01,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada",Research and development,449.0
2000,2000/01,"Innovation, Science & Econ. Dev.","Innovation, Science and Economic Development Canada","Total, science and technology",1072.0
2000,2000/01,NSERC,Natural Sciences and Engineering Research Council of Canada,Related scientific activities,30.0
2000,2000/01,NSERC,Natural Sciences and Engineering Research Council of Canada,Research and development,220.0
2000,2000/01,NSERC,Natural Sciences and Engineering Research Council of Canada,"Total, science and technology",250.0
2000,2000/01,National Defence,National Defence,Related scientific activities,270.0
2000,2000/01,National Defence,National Defence,Research and development,1348.0
2000,2000/01,National Defence,National Defence,"Total, science and technology",1617.0
2000,2000/01,National Research Council,National Research Council Canada,Related scientific activities,492.0
2000,2000/01,National Research Council,National Research Council Canada,Research and development,2934.0
2000,2000/01,National Research Council,National Research Council Canada,"Total, science and technology",3426.0
2000,2000/01,Natural Resources Canada,Natural Resources Canada,Related scientific activities,435.0
2000,2000/01,Natural Resources Canada,Natural Resources Canada,Research and development,2435.0
2000,2000/01,Natural Resources Canada,Natural Resources Canada,"Total, science and technology",2870.0
2000,2000/01,Other departments & agencies,Other departments and agencies,Related scientific activities,4606.0
2000,2000/01,Other departments & agencies,Other departments and agencies,Research and development,577.0
2000,2000/01,Other departments & agencies,Other departments and agencies,"Total, science and technology",5183.0
