date,crime_severity_index
1998-01-01,118.84
1999-01-01,111.24
2000-01-01,106.73
2001-01-01,105.3
2002-01-01,104.14
2003-01-01,106.84
2004-01-01,104.11
2005-01-01,101.33
2006-01-01,100.0
2007-01-01,95.28
2008-01-01,90.57
2009-01-01,87.77
2010-01-01,82.94
2011-01-01,77.61
2012-01-01,75.51
2013-01-01,68.92
2014-01-01,66.9
2015-01-01,70.39
2016-01-01,72.01
2017-01-01,73.6
2018-01-01,75.6
2019-01-01,79.72
2020-01-01,73.92
2021-01-01,74.87
2022-01-01,78.74
2023-01-01,81.27
2024-01-01,78.84
2025-01-01,75.01
