year,motivation,count
2023,2SLGBTQI+,89.0
2024,2SLGBTQI+,156.0
2014,Adults (25 to 64 years old),2.0
2015,Adults (25 to 64 years old),2.0
2016,Adults (25 to 64 years old),2.0
2017,Adults (25 to 64 years old),2.0
2018,Adults (25 to 64 years old),5.0
2019,Adults (25 to 64 years old),2.0
2020,Adults (25 to 64 years old),3.0
2021,Adults (25 to 64 years old),0.0
2022,Adults (25 to 64 years old),0.0
2023,Adults (25 to 64 years old),1.0
2024,Adults (25 to 64 years old),1.0
2014,Age,6.0
2015,Age,4.0
2016,Age,5.0
2017,Age,4.0
2018,Age,9.0
2019,Age,8.0
2020,Age,5.0
2021,Age,14.0
2022,Age,5.0
2023,Age,9.0
2024,Age,10.0
2014,"Arab (West Asian, Middle Eastern and North African origins)",69.0
2015,"Arab (West Asian, Middle Eastern and North African origins)",92.0
2016,"Arab (West Asian, Middle Eastern and North African origins)",112.0
2017,"Arab (West Asian, Middle Eastern and North African origins)",142.0
2018,"Arab (West Asian, Middle Eastern and North African origins)",93.0
2019,"Arab (West Asian, Middle Eastern and North African origins)",125.0
2020,"Arab (West Asian, Middle Eastern and North African origins)",126.0
2021,"Arab (West Asian, Middle Eastern and North African origins)",184.0
2022,"Arab (West Asian, Middle Eastern and North African origins)",172.0
2023,"Arab (West Asian, Middle Eastern and North African origins)",268.0
2024,"Arab (West Asian, Middle Eastern and North African origins)",310.0
2023,Asexual,0.0
2024,Asexual,0.0
2014,Bisexual,2.0
2015,Bisexual,5.0
2016,Bisexual,4.0
2017,Bisexual,2.0
2018,Bisexual,4.0
2019,Bisexual,4.0
2020,Bisexual,5.0
2021,Bisexual,8.0
2022,Bisexual,6.0
2023,Bisexual,13.0
2024,Bisexual,9.0
2014,Black,238.0
2015,Black,224.0
2016,Black,214.0
2017,Black,321.0
2018,Black,295.0
2019,Black,345.0
2020,Black,676.0
2021,Black,647.0
2022,Black,842.0
2023,Black,821.0
2024,Black,873.0
2023,Both Mental and Physical Disability,1.0
2024,Both Mental and Physical Disability,6.0
2023,Buddhist,0.0
2024,Buddhist,0.0
2014,Catholic,35.0
2015,Catholic,55.0
2016,Catholic,27.0
2017,Catholic,39.0
2018,Catholic,44.0
2019,Catholic,51.0
2020,Catholic,43.0
2021,Catholic,155.0
2022,Catholic,52.0
2023,Catholic,49.0
2024,Catholic,61.0
2023,Children (0 to 11 years old),0.0
2024,Children (0 to 11 years old),0.0
2014,Children (0 to 14 years old),0.0
2015,Children (0 to 14 years old),1.0
2016,Children (0 to 14 years old),1.0
2017,Children (0 to 14 years old),0.0
2018,Children (0 to 14 years old),0.0
2019,Children (0 to 14 years old),0.0
2020,Children (0 to 14 years old),0.0
2021,Children (0 to 14 years old),1.0
2022,Children (0 to 14 years old),0.0
2023,Children (0 to 14 years old),1.0
2024,Children (0 to 14 years old),0.0
2023,Chinese,32.0
2024,Chinese,39.0
2023,Christian Orthodox,0.0
2024,Christian Orthodox,1.0
2023,Combination (More than 2 motivations),30.0
2024,Combination (More than 2 motivations),36.0
2014,East or Southeast Asian,52.0
2015,East or Southeast Asian,49.0
2016,East or Southeast Asian,61.0
2017,East or Southeast Asian,61.0
2018,East or Southeast Asian,60.0
2019,East or Southeast Asian,67.0
2020,East or Southeast Asian,263.0
2021,East or Southeast Asian,312.0
2022,East or Southeast Asian,213.0
2023,East or Southeast Asian,160.0
2024,East or Southeast Asian,130.0
2023,Elderly (80 years old and over),0.0
2024,Elderly (80 years old and over),1.0
2014,English,7.0
2015,English,15.0
2016,English,8.0
2017,English,14.0
2018,English,9.0
2019,English,24.0
2020,English,29.0
2021,English,29.0
2022,English,45.0
2023,English,37.0
2024,English,37.0
2023,Filipino,1.0
2024,Filipino,5.0
2014,French,0.0
2015,French,2.0
2016,French,4.0
2017,French,4.0
2018,French,1.0
2019,French,1.0
2020,French,2.0
2021,French,2.0
2022,French,11.0
2023,French,2.0
2024,French,0.0
2023,Gay,34.0
2024,Gay,47.0
2014,Heterosexual,2.0
2015,Heterosexual,1.0
2016,Heterosexual,1.0
2017,Heterosexual,2.0
2018,Heterosexual,0.0
2019,Heterosexual,0.0
2020,Heterosexual,0.0
2021,Heterosexual,2.0
2022,Heterosexual,7.0
2023,Heterosexual,5.0
2024,Heterosexual,5.0
2023,Hindu,1.0
2024,Hindu,3.0
2014,Homosexual (lesbian or gay),139.0
2015,Homosexual (lesbian or gay),121.0
2016,Homosexual (lesbian or gay),148.0
2017,Homosexual (lesbian or gay),173.0
2018,Homosexual (lesbian or gay),153.0
2019,Homosexual (lesbian or gay),233.0
2020,Homosexual (lesbian or gay),210.0
2021,Homosexual (lesbian or gay),337.0
2022,Homosexual (lesbian or gay),366.0
2023,Homosexual (lesbian or gay),428.0
2024,Homosexual (lesbian or gay),211.0
2023,Immigrants / Newcomers to Canada,14.0
2024,Immigrants / Newcomers to Canada,49.0
2023,"India, Pakistan or South Asian",38.0
2024,"India, Pakistan or South Asian",88.0
2014,Indigenous,37.0
2015,Indigenous,35.0
2016,Indigenous,30.0
2017,Indigenous,31.0
2018,Indigenous,39.0
2019,Indigenous,29.0
2020,Indigenous,78.0
2021,Indigenous,77.0
2022,Indigenous,66.0
2023,Indigenous,72.0
2024,Indigenous,59.0
2023,Japanese,0.0
2024,Japanese,2.0
2014,Jewish,213.0
2015,Jewish,178.0
2016,Jewish,221.0
2017,Jewish,360.0
2018,Jewish,372.0
2019,Jewish,306.0
2020,Jewish,331.0
2021,Jewish,492.0
2022,Jewish,527.0
2023,Jewish,959.0
2024,Jewish,920.0
2023,Korean,1.0
2024,Korean,3.0
2014,Language,12.0
2015,Language,18.0
2016,Language,13.0
2017,Language,23.0
2018,Language,14.0
2019,Language,25.0
2020,Language,37.0
2021,Language,33.0
2022,Language,63.0
2023,Language,51.0
2024,Language,48.0
2023,Latin American,2.0
2024,Latin American,6.0
2023,Lesbian,4.0
2024,Lesbian,6.0
2014,Man,5.0
2015,Man,2.0
2016,Man,1.0
2017,Man,2.0
2018,Man,4.0
2019,Man,6.0
2020,Man,3.0
2021,Man,4.0
2022,Man,3.0
2023,Man,0.0
2024,Man,9.0
2023,Mennonite or Amish,0.0
2024,Mennonite or Amish,0.0
2014,Mental disability (Psychological and Cognitive),4.0
2015,Mental disability (Psychological and Cognitive),2.0
2016,Mental disability (Psychological and Cognitive),7.0
2017,Mental disability (Psychological and Cognitive),6.0
2018,Mental disability (Psychological and Cognitive),5.0
2019,Mental disability (Psychological and Cognitive),1.0
2020,Mental disability (Psychological and Cognitive),6.0
2021,Mental disability (Psychological and Cognitive),4.0
2022,Mental disability (Psychological and Cognitive),8.0
2023,Mental disability (Psychological and Cognitive),6.0
2024,Mental disability (Psychological and Cognitive),9.0
2014,Mental or Physical Disability,10.0
2015,Mental or Physical Disability,8.0
2016,Mental or Physical Disability,11.0
2017,Mental or Physical Disability,10.0
2018,Mental or Physical Disability,9.0
2019,Mental or Physical Disability,3.0
2020,Mental or Physical Disability,8.0
2021,Mental or Physical Disability,16.0
2022,Mental or Physical Disability,15.0
2023,Mental or Physical Disability,13.0
2024,Mental or Physical Disability,26.0
2023,Middle Adults (30 to 49 years old),0.0
2024,Middle Adults (30 to 49 years old),0.0
