date,homicide_rate
1961-01-01,1.28
1962-01-01,1.43
1963-01-01,1.32
1964-01-01,1.31
1965-01-01,1.41
1966-01-01,1.25
1967-01-01,1.66
1968-01-01,1.82
1969-01-01,1.86
1970-01-01,2.19
1971-01-01,2.15
1972-01-01,2.34
1973-01-01,2.44
1974-01-01,2.62
1975-01-01,3.03
1976-01-01,2.84
1977-01-01,3.0
1978-01-01,2.76
1979-01-01,2.61
1980-01-01,2.41
1981-01-01,2.61
1982-01-01,2.66
1983-01-01,2.7
1984-01-01,2.6
1985-01-01,2.72
1986-01-01,2.17
1987-01-01,2.43
1988-01-01,2.15
1989-01-01,2.4
1990-01-01,2.37
1991-01-01,2.69
1992-01-01,2.59
1993-01-01,2.18
1994-01-01,2.06
1995-01-01,2.0
1996-01-01,2.14
1997-01-01,1.96
1998-01-01,1.85
1999-01-01,1.78
2000-01-01,1.78
2001-01-01,1.79
2002-01-01,1.86
2003-01-01,1.74
2004-01-01,1.96
2005-01-01,2.06
2006-01-01,1.87
2007-01-01,1.82
2008-01-01,1.85
2009-01-01,1.82
2010-01-01,1.64
2011-01-01,1.77
2012-01-01,1.58
2013-01-01,1.46
2014-01-01,1.48
2015-01-01,1.72
2016-01-01,1.72
2017-01-01,1.83
2018-01-01,1.8
2019-01-01,1.84
2020-01-01,2.02
2021-01-01,2.1
2022-01-01,2.28
2023-01-01,1.99
2024-01-01,1.93
2025-01-01,1.61
