year,rank,country_name,happiness_score,happiness_lower,happiness_upper,explained_gdp,explained_social_support,explained_life_expectancy,explained_freedom,explained_generosity,explained_corruption,dystopia_residual,country_code
2011,9,Australia,7.345,,,,,,,,,,AUS
2012,10,Australia,7.35,,,,,,,,,,AUS
2014,10,Australia,7.284,,,,,,,,,,AUS
2015,9,Australia,7.313,,,,,,,,,,AUS
2016,9,Australia,7.284,,,,,,,,,,AUS
2017,10,Australia,7.272,,,,,,,,,,AUS
2018,11,Australia,7.228,,,,,,,,,,AUS
2019,12,Australia,7.22279977798462,7.14079141616821,7.30480813980103,1.31039643287659,1.47714626789093,1.02260768413544,0.621877193450928,0.324973613023758,0.33599641919136,2.1298041343689,AUS
2020,11,Australia,7.183,7.102,7.265,1.453,1.076,0.801,0.647,0.291,0.317,2.598,AUS
2021,12,Australia,7.162,7.081,7.244,1.9,1.203,0.772,0.676,0.258,0.341,2.011,AUS
2022,12,Australia,7.095,7.009,7.18,1.899,1.497,0.532,0.677,0.242,0.31,1.938,AUS
2023,10,Australia,7.057,6.973,7.141,1.854,1.461,0.692,0.756,0.225,0.323,1.745,AUS
2024,11,Australia,6.974,6.89,7.057,1.767,1.647,0.841,0.857,0.164,0.285,1.413,AUS
2025,15,Australia,6.916,6.833,6.999,1.937,1.497,0.956,0.989,0.159,0.294,1.085,AUS
2011,5,Canada,7.499,,,,,,,,,,CAN
2012,6,Canada,7.477,,,,,,,,,,CAN
2014,5,Canada,7.427,,,,,,,,,,CAN
2015,6,Canada,7.404,,,,,,,,,,CAN
2016,7,Canada,7.316,,,,,,,,,,CAN
2017,7,Canada,7.328,,,,,,,,,,CAN
2018,9,Canada,7.278,,,,,,,,,,CAN
2019,11,Canada,7.23210000991821,7.15290546417236,7.31129455566406,1.30164766311646,1.43539190292358,1.02250194549561,0.644028127193451,0.281528919935226,0.351701855659485,2.1952691078186,CAN
2020,14,Canada,7.103,7.021,7.185,1.447,1.044,0.798,0.648,0.246,0.335,2.585,CAN
2021,15,Canada,7.025,6.943,7.107,1.886,1.188,0.783,0.659,0.217,0.368,1.924,CAN
2022,13,Canada,6.961,6.879,7.042,1.881,1.484,0.541,0.656,0.218,0.364,1.815,CAN
2023,15,Canada,6.9,6.815,6.984,1.84,1.459,0.701,0.73,0.23,0.368,1.572,CAN
2024,18,Canada,6.803,6.718,6.888,1.749,1.647,0.832,0.813,0.168,0.323,1.271,CAN
2025,25,Canada,6.741,6.656,6.826,1.917,1.525,0.955,0.948,0.153,0.321,0.923,CAN
2011,6,Switzerland,7.499,,,,,,,,,,CHE
2012,3,Switzerland,7.65,,,,,,,,,,CHE
2014,1,Switzerland,7.587,,,,,,,,,,CHE
2015,2,Switzerland,7.509,,,,,,,,,,CHE
2016,4,Switzerland,7.494,,,,,,,,,,CHE
2017,5,Switzerland,7.487,,,,,,,,,,CHE
2018,6,Switzerland,7.48,,,,,,,,,,CHE
2019,3,Switzerland,7.55989980697632,7.49127197265625,7.62852764129639,1.39077425003052,1.47240340709686,1.04053318500519,0.628954470157623,0.269055753946304,0.407945901155472,2.35026741027832,CHE
2020,3,Switzerland,7.571,7.5,7.643,1.566,1.079,0.816,0.653,0.204,0.413,2.839,CHE
2021,4,Switzerland,7.512,7.437,7.586,2.026,1.226,0.822,0.677,0.147,0.461,2.153,CHE
2022,8,Switzerland,7.24,7.156,7.324,2.022,1.463,0.582,0.678,0.151,0.475,1.87,CHE
2023,9,Switzerland,7.06,6.973,7.147,1.97,1.425,0.747,0.759,0.173,0.498,1.488,CHE
2024,13,Switzerland,6.935,6.854,7.015,1.87,1.622,0.883,0.889,0.156,0.468,1.047,CHE
2025,10,Switzerland,7.018,6.937,7.099,2.028,1.534,1.017,1.035,0.148,0.452,0.804,CHE
2011,30,Germany,6.572,,,,,,,,,,DEU
2012,26,Germany,6.672,,,,,,,,,,DEU
2014,26,Germany,6.75,,,,,,,,,,DEU
2015,16,Germany,6.994,,,,,,,,,,DEU
2016,16,Germany,6.951,,,,,,,,,,DEU
